(1553203762.157799, ':', 'AITFC,10698074,20.9326,-97.7585,35000,64,1,7,488,DAL368,B737,N308DE,MEX,ATL')
(1553203762.157974, ':', 'AITFC,10833959,19.5474,-99.4553,33999,0,1,286,408,,B734,N441US,,')
(1553203762.158138, ':', 'AITFC,854648,19.4253,-99.0783,0,0,1,208,18,AMX691,B738,XA-ADV,SJO,MEX')
(1553203762.158312, ':', 'AITFC,854797,19.7736,-98.7768,38050,0,1,250,398,VIV2145,A20N,XA-VIF,CUN,GDL')
(1553203762.158469, ':', 'AITFC,854160,19.4965,-99.1605,12300,-640,1,133,251,SLI273,E190,XA-GAR,SJD,MEX')
(1553203762.158654, ':', 'AITFC,853215,19.4241,-98.3571,24000,0,1,330,358,,E190,XA-JAC,GUA,MEX')
(1553203762.158994, ':', 'AITFC,854731,18.6357,-100.3390,20000,64,1,226,246,TAO423,AT76,XA-UZS,MEX,ZIH')
(1553203762.159207, ':', 'AITFC,854656,19.0510,-98.9024,15375,512,1,179,226,TAO405,AT76,XA-UZE,MEX,ACA')
(1553203762.159455, ':', 'AITFC,11223930,19.4234,-99.0797,0,0,1,309,9,AMX222,B738,N825AM,MEX,CUU')
(1553203762.159677, ':', 'AITFC,854872,19.4384,-99.0751,0,0,1,239,16,VIV2704,A20N,XA-VIN,GDL,MEX')
(1553203762.159893, ':', 'AITFC,854604,19.3457,-99.9821,31700,1280,1,271,383,SLI274,E190,XA-AEC,MEX,SJD')
(1553203762.160081, ':', 'AITFC,853803,19.1388,-99.1424,24825,-512,1,13,413,AIJ2704,A320,XA-WAB,ACA,MEX')
(1553203762.160307, ':', 'AITFC,0,19.2151,-98.1629,40000,0,1,205,429,GL5T,GL5T,,,')
(1553203762.160457, ':', 'AITFC,0,19.3384,-99.5695,0,0,1,314,0,GL5T,GL5T,,,')
(1553203762.160662, ':', 'AITFC,854343,20.1109,-99.5149,24900,-1152,1,128,410,VIV3711,A320,XA-VAO,TIJ,MEX')
(1553203762.160845, ':', 'AITFC,854282,20.1206,-99.1676,18775,-2048,1,161,344,SLI2421,E170,XA-ALD,MAM,MEX')
(1553203762.161049, ':', 'AITFC,854858,18.3810,-99.0227,34000,0,1,323,431,,,,,')
(1553203762.161209, ':', 'AITFC,853641,19.3336,-99.0806,20625,2880,1,269,313,SLI2636,E190,XA-ACC,MEX,AGU')
(1553203762.161419, ':', 'AITFC,11206570,19.4415,-99.0696,0,0,1,255,21,AAL816,A319,N808AW,LAX,MEX')
(1553203762.161577, ':', 'AITFC,854329,19.4325,-99.0873,0,0,1,180,0,VIV3306,A320,XA-VAN,MEX,MID')
(1553203762.161804, ':', 'AITFC,794641,19.4245,-99.0824,0,0,1,329,21,CMP135,B738,HP-1522CMP,MEX,PTY')
(1553203762.162065, ':', 'AITFC,10912964,19.6017,-98.7715,15875,2048,1,59,331,VOI186,A320,N519VL,MEX,MTY')
(1553203772.923797, ':', 'AITFC,10918260,19.5283,-99.1317,22200,-2048,1,326,333,TPU960,A319,N524TA,LIM,MEX')
(1553203772.923936, ':', 'AITFC,854471,19.4382,-99.0755,0,0,1,239,20,VIV3283,A320,XA-VAZ,MZT,MEX')
(1553203772.924123, ':', 'AITFC,15205156,19.4457,-99.0691,0,0,1,149,2,,A319,CC-AMP,MEX,')
(1553203772.924376, ':', 'AITFC,854518,19.4379,-99.0659,0,0,1,140,22,SLI444,E190,XA-ALQ,CUN,MEX')
(1553203772.92462, ':', 'AITFC,853750,20.6117,-97.6576,38000,-64,1,273,382,SLI2655,E190,XA-ACN,PUJ,MEX')
(1553203772.924794, ':', 'AITFC,0,18.9122,-99.4298,14350,-832,1,315,290,LJ75,LJ75,,,')
(1553203772.924945, ':', 'AITFC,854478,19.5596,-99.2274,11425,-1664,1,183,203,VIV3263,A320,XA-VAU,TRC,MEX')
(1553203772.925118, ':', 'AITFC,0,19.3351,-99.5692,0,0,1,271,0,LJ75,LJ75,,,')
(1553203772.925364, ':', 'AITFC,854501,19.7362,-99.3703,16225,-2048,1,196,277,AMX015,B789,XA-ADC,GRU,MEX')
(1553203772.925648, ':', 'AITFC,0,18.6873,-98.7761,26600,1216,1,132,412,BE40,BE40,,,')
(1553203772.926026, ':', 'AITFC,11222467,19.4286,-99.0833,7525,-832,1,59,152,UAL1090,A319,N823UA,IAH,MEX')
(1553203772.926272, ':', 'AITFC,854371,19.4322,-99.0868,0,0,1,257,0,VIV3147,A320,XA-VAP,CUN,MEX')
(1553203772.926569, ':', 'AITFC,854860,20.3028,-99.7716,28500,-1920,1,128,472,AIJ2800,A21N,XA-PGA,SJD,MEX')
