#DEVICE_TYPE,DEVICE_ID,AIRCRAFT_MODEL,REGISTRATION,CN,TRACKED,IDENTIFIED
'O','078AC4','HangGlider','CAMILOP','CP1','Y','Y'
'F','07A7AC','Paraglider','Evgeny','385','Y','Y'
'O','07B51C','Unknown','','','Y','Y'
'O','07D4B8','HangGlider','DANIEL','DVB','Y','Y'
'O','07D952','Unknown','','Tt1','Y','Y'
'F','0800B0','Sinus','0800B0','VC','Y','Y'
'O','081599','Paraglider','Para','999','Y','Y'
'O','083729','A380','PK27','','Y','Y'
'O','084431','ASW-15','OK-5331','HH','Y','Y'
'F','089891','Ventus 2cM','D-KJOY','','Y','Y'
'O','08C14C','Drone/UAV','GXDR1','GXD','Y','Y'
'O','08C5BB','Nimbus 2','OK-2783','PM','Y','Y'
'O','090929','VSO-10','OK-1514','E8','Y','Y'
'O','092624','A380','PK21','','Y','Y'
'O','093815','Blanik','OK 9851','','Y','Y'
'O','094054','Janus C','GGP7','GG7','Y','Y'
'O','0A0047','Paraglider','8525','UWE','Y','Y'
'O','0A1415','Paraglider','000','000','Y','Y'
'O','0A62B1','Paraglider','4967','','Y','Y'
'F','0A6830','Paraglider','37641','','Y','Y'
'O','0A6855','Paraglider','Ms-440','','Y','Y'
'O','0A6923','Paraglider','OSteffG','','Y','Y'
'O','0A6B23','Paraglider','Bladti','','Y','Y'
'O','0AC6A1','Paraglider','BkaRES','','Y','Y'
'O','0B359F','Cessna 182','HAIJA','AJA','Y','Y'
'O','0CC4B8','Paraglider','SZ-982','982','Y','Y'
'F','0CEF34','Paraglider','Jack','JAM','Y','Y'
'F','0CFFFF','Cessna 208','F-HANM','','Y','Y'
'F','0D0037','Kestrel','D-0037','SM','Y','Y'
'F','0D0256','SZD-50 Puchacz','D-6619','','Y','Y'
'F','0D0466','ASK-13','D-0466','','Y','Y'
'F','0D2950','LS-6 18WJ','D-2950','1R','Y','Y'
'F','0D3528','LS-4','D-3528','3V','Y','Y'
'I','0D3608','','','','Y','N'
'F','0D3856','Grunau Baby','D-3856','','Y','Y'
'F','0D4253','A380','RESERV','','Y','Y'
'F','0D5496','Discus 2','D-5496','','Y','Y'
'O','0D5718','Paraglider','FW413','KCS','Y','Y'
'F','0D5729','DG-300','D-5729','FX','Y','Y'
'F','0D6510','DG-1000','D-6510','','Y','Y'
'F','0D6511','LS-4','D-6511','2M','Y','Y'
'F','0D6559','LS-1 f','0D6559','2P','Y','Y'
'F','0D7039','Ka-2','D-7039','','Y','Y'
'F','0D7503','L-Spatz 55','D-7503','','Y','Y'
'F','0D7619','Duo Discus','D-4824','DR','Y','Y'
'F','0D8087','Twin Astir II','D-8087','87','Y','Y'
'F','0D9442','Kestrel','D-9442','k2M','Y','Y'
'F','0DD836','ASK-21','','22','Y','Y'
'F','0DDE4B','LS-3','G-DECP','ECP','Y','Y'
'F','0DEC3C','ASK-21','D-1221','21','Y','Y'
'O','0E23B0','Ultralight','Kolb','123','Y','Y'
'O','0F8A31','Ultralight','OKRUL96','L96','Y','Y'
'O','0FD542','Paraglider','SZ-823','823','Y','Y'
'F','100661','Paraglider','','','Y','Y'
'F','100E08','Paraglider','','','Y','Y'
'F','10154A','Motorplane','HB-TCP','','Y','Y'
'F','102030','LS-8a','PH-1047','SR','Y','Y'
'F','104280','LS-1 f','D2254','HR','Y','Y'
'O','105632','VSO-10','GGP8','GG8','Y','Y'
'O','10CD15','Ultralight','I-4568','00','Y','Y'
'I','10EB2E','JS-1 C18 Evo','ZSGBB','ZB','Y','Y'
'F','110005','Paraglider','','','Y','Y'
'F','110007','Paraglider','BDW','','Y','Y'
'F','110008','','','','Y','N'
'F','11000B','Paraglider','airbjor','bjg','Y','Y'
'F','11000C','Paraglider','Peak4','Nk','Y','Y'
'F','110010','Paraglider','35314','pip','Y','Y'
'F','11001A','Paraglider','D-MWCK','','Y','Y'
'F','11001E','Paraglider','SUn3','','Y','Y'
'F','11001F','Paraglider','Paul','PN','Y','Y'
'F','110024','Paraglider','SUn2','','Y','Y'
'O','110026','Paraglider','CH22856','','Y','Y'
'F','110049','','','','Y','N'
'F','110058','Paraglider','RICH-C','RJC','Y','Y'
'F','110059','Paraglider','CH13949','NoS','Y','Y'
'F','11005B','Paraglider','FDA2','','Y','Y'
'F','110061','A380','FloB','','Y','Y'
'F','110063','Paraglider','','','Y','Y'
